precinct_id,year,perc_lib,proposed_turbine,log_pop,log_pop_denc,log_median_inc,log_home_val,avg_home_val,unemploy_rate,p_uni_degree,p_immigrant,p_housing_own
58.004.58.4.,2011,0.252747253,0,6.47942389,2.676218535,10.07962263,12.40904292,245007.2105,0.002451113,0.237728572,0.123211203,0.940013809
58.005.58.6.,2003,0.39496,0,6.993558758,3.854312082,9.851720057,11.9112645,148934.8887,8.421869444,0.084760147,0.08992383,0.816583811
58.005.58.6.,2007,0.41,0,7.150769639,3.469597178,10.06422017,12.20399087,199584.0788,0.9623313,0.104956695,0.053898144,0.92840511
58.005.58.6.,2011,0.336,0,7.252391756,3.608683019,10.3009163,12.57539518,289350.8316,11.45267957,0.123714939,0.060453611,0.917219019
58.006.58.8.,2003,0.48588,0,5.269565698,5.984229065,9.787837845,11.5926724,108301.2957,12.2280997,0.091360736,0.060022192,0.557647477
58.006.58.8.,2007,0.420689655,0,5.146579457,6.71071454,9.961331821,12.0491584,170955.4717,6.508679341,0.214674037,0.058600633,0.468318711
58.006.58.8.,2011,0.344827586,0,5.130874198,6.539710572,10.30189688,12.33373196,227233.1716,33.99458427,0.020081594,0.072973926,0.405318228
58.007.58.7.,2003,0.44828,0,5.85357158,6.988694297,9.768913566,11.56850057,105714.8408,7.92747353,0.128511211,0.0612661,0.502522583
58.007.58.7.,2007,0.427350427,0,5.653065379,7.217921551,9.853416447,11.94269044,153689.6271,12.19722646,0.139707165,0.069555174,0.525445406
58.007.58.7.,2011,0.382352941,0,5.676962736,7.241819549,10.27576111,12.23484673,205838.4119,14.88347199,0.142648774,0.03311854,0.648597985
58.008.58.5.,2003,0.39496,0,5.869075275,2.729828599,9.769892313,12.06405558,173521.2903,8.610316213,0.097005723,0.09998884,0.789036585
58.008.58.5.,2007,0.296482412,0,5.380236302,3.304577001,9.833712081,11.96248652,156762.3928,1.063066716,0.121718404,0.08865515,0.921904455
58.008.58.5.,2011,0.23255814,0,5.403505132,3.327845722,10.101650040000001,12.31609314,223260.1894,11.41719763,0.103875659,0.204992708,0.894372145
58.010.58.12.,2003,0.44643,0,5.815414065,1.846370283,9.769329814,11.85097921,140221.587,7.980758177,0.127374646,0.062290031,0.510614369
58.010.58.12.,2007,0.370860927,0,5.45719306,6.373790839,10.1218475,12.09557178,179077.1111,10.8860812,0.164670534,0.068499894,0.501535854
58.010.58.12.,2011,0.279279279,0,5.459990859,6.376589161,10.17509216,12.28818875,217116.3693,20.016921580000002,0.111134901,0.046485075,0.571697949
58.011s.58.701.,2003,0.40486,0,2.515712581,3.450402462,9.766234959,11.56953262,105824,7.1,0.135338346,0.061728395,0.493670886
58.011s.58.701.,2007,0.38,0,2.211698161,7.190314865,9.766693701,11.98626104,160534,15.8,0.063829787,0.075269,0.617021
58.011s.58.701.,2011,0.333333333,0,2.295327263,7.273943967,10.42842316,12.21111989,201012,0,0.235294118,0,0.875
58.012.58.13.,2003,0.44643,0,6.31106181,2.342018028,9.768260069,12.03103674,167885.3761,8.031291417,0.040127083,0.058777336,0.627671681
58.012.58.13.,2007,0.453488372,0,4.777932683,3.377279753,10.04133303,12.08291496,176824.848,4.472533763,0.128781047,0.074696049,0.858533996
58.012.58.13.,2011,0.259259259,0,4.75002078,3.34936785,10.40841438,12.16257502,191486.9652,1.7781675,0.019269097,1.41e-7,0.910886848
58.013.58.19.,2003,0.39118000000000003,0,6.278431115,5.641556549,9.654727646,11.95130095,155018.6866,4.920336463,0.04174252,0.127104469,0.5916564
